基因	关系	基因
SERPINE1	相互作用	PLAU
CCR5	相互作用	CCL11
CASP9	相互作用	VCP
PTPN6	相互作用	CXCR4
HNF4A	相互作用	TP53
BRAF	相互作用	SFN
CREB1	相互作用	EGR1
EPOR	相互作用	PTPN6
DLG4	相互作用	FYN
MYH9	相互作用	CXCR4
GAPDH	相互作用	MAP2K2
CDK2	相互作用	PGK1
GRK2	相互作用	PRKCA
APP	相互作用	NEDD8
RYR1	相互作用	TF
RAF1	相互作用	TBXA2R
FLT1	相互作用	LDLR
SLC25A4	相互作用	NFKBIA
CASP8	相互作用	PSEN2
NR1H4	相互作用	NCOA6
LCK	相互作用	PTPN11
INSR	相互作用	SMAD2
HDAC1	相互作用	SMARCA4
ACVRL1	相互作用	CAV1
ERBB2	相互作用	JAK1
ESR1	相互作用	FASN
LYZ	相互作用	NFKB1
APP	相互作用	THBS1
AKT1	相互作用	MS4A2
MBP	相互作用	IRAK4
FGF7	相互作用	FGFR2
APP	相互作用	MS4A2
APOC3	相互作用	VKORC1
HNF4A	相互作用	MAPK1
ELANE	相互作用	GRN
HSPG2	相互作用	TTR
INSR	相互作用	JAK1
VCL	相互作用	VCP
MMP14	相互作用	TIMP4
CA9	相互作用	CDH1
HSP90AB1	相互作用	STAT1
PRKCA	相互作用	TYK2
PLSCR1	相互作用	RASD1
BCL6	相互作用	HBEGF
ARRB1	相互作用	PDE4D
NFKB1	相互作用	CCL20
EGFR	相互作用	TRPV1
PARP1	相互作用	SENP1
VCL	相互作用	ACTR3
CFTR	相互作用	HSPD1
NCOA1	相互作用	NR1I3
GRB2	相互作用	TNFRSF1A
KLF5	相互作用	PRKCA
C1QB	相互作用	C1QC
FBN1	相互作用	PAK1
PAX3	相互作用	SRC
GRN	相互作用	HSPG2
APP	相互作用	HADHB
ELN	相互作用	MMP7
SYN1	相互作用	NCF1
JUNB	相互作用	RPS27A
CDK2	相互作用	ENO2
ACTB	相互作用	WASF1
EP300	相互作用	FOSL1
IFNA1	相互作用	IFNAR2
TP53	相互作用	RRM2B
ERBB4	相互作用	NCOR1
CFH	相互作用	CFI
CREBBP	相互作用	HSF1
ATP2A2	相互作用	MYC
SERPINA3	相互作用	ERBB2
KCNJ2	相互作用	KCNJ8
CAPN2	相互作用	KNG1
BRCA1	相互作用	ETS1
CDK2	相互作用	RPLP2
CAST	相互作用	CASP1
CTSD	相互作用	HBA2
CASP1	相互作用	IL18
APOH	相互作用	PLG
SYK	相互作用	VCAM1
MAX	相互作用	TUBA1A
PGR	相互作用	BATF3
PRKDC	相互作用	TNFRSF1A
HSP90AB1	相互作用	NR1H3
ESR1	相互作用	TOP2B
EGFR	相互作用	PTK2
RAD51	相互作用	UBE2I
CASP3	相互作用	PSEN1
CDK4	相互作用	TOP1
CASP8	相互作用	TNFSF10
CCR4	相互作用	CCL5
MBP	相互作用	PRKDC
IRS1	相互作用	NTRK1
BGLAP	相互作用	CTSH
DCN	相互作用	MMP3
RHOA	相互作用	PRKCZ
CCND3	相互作用	RARA
EPHB2	相互作用	GRB2
HSP90AB1	相互作用	NFKB2
HNRNPA2B1	相互作用	LCK
APAF1	相互作用	CASP9
APP	相互作用	GSN
UBE2I	相互作用	CDC37
SMARCA4	相互作用	VDR
IGFBP3	相互作用	MMP3
PPARD	相互作用	TNP1
RARA	相互作用	NR1H3
ETS1	相互作用	JUN
EEF1A1	相互作用	HSP90AB1
NR4A1	相互作用	CHEK2
F2	相互作用	SPP1
JAK2	相互作用	CXCR4
DES	相互作用	DSP
CASP6	相互作用	LMNA
APP	相互作用	FOS
CALM1	相互作用	CAMK4
F2	相互作用	PROC
SLC25A4	相互作用	SLC25A13
CTNNB1	相互作用	HTT
CDK6	相互作用	PML
HNF4A	相互作用	PAX8
AR	相互作用	IL6ST
ALB	相互作用	KRT14
EGFR	相互作用	TPM1
ERBB2	相互作用	STAT1
ICAM1	相互作用	IL2RA
FYN	相互作用	PRKCQ
PGR	相互作用	NCOR1
PTK2B	相互作用	PRKCD
EGFR	相互作用	GAPDH
ACLY	相互作用	ELANE
NR5A1	相互作用	NCOA1
EGFR	相互作用	FKBP4
CD3E	相互作用	CD3G
BCL2	相互作用	BBC3
BRCA1	相互作用	CDK7
HADH	相互作用	STAT1
HSP90AA1	相互作用	RAF1
MAPK1	相互作用	TH
CDKN1A	相互作用	ATXN3
F7	相互作用	IKBKG
XIAP	相互作用	GLI2
APP	相互作用	IDO1
HLA-B	相互作用	SLC1A5
PARP1	相互作用	CDK2
HLA-B	相互作用	SRC
HCRT	相互作用	HLA-DQA1
KCNA5	相互作用	UBE2I
HNRNPA2B1	相互作用	VHL
ITGAL	相互作用	ITGB2
HSPD1	相互作用	SMAD2
PRKCZ	相互作用	MAP2K5
HNRNPK	相互作用	PRKCZ
IL1B	相互作用	IRF4
AKT1	相互作用	VCP
BCL2	相互作用	MYC
RPS19	相互作用	TUBA1A
DLG4	相互作用	NCKIPSD
BCL2	相互作用	NRAS
FLT4	相互作用	IKBKG
HSPA1B	相互作用	SNCA
CALB1	相互作用	IMPA1
VCAN	相互作用	FBN1
CTBP1	相互作用	HDAC4
FN1	相互作用	CXCL12
PRKCD	相互作用	TP53
HSPA1B	相互作用	IKBKG
CALM1	相互作用	TRPV4
MAPK3	相互作用	SLC9A1
CDK2	相互作用	FH
HTR2A	相互作用	MAP1A
ALOX12	相互作用	KAT5
GRB2	相互作用	KCNQ1
ESR1	相互作用	SMAD2
CCNE1	相互作用	E2F1
GGT1	相互作用	KCNMA1
GADD45A	相互作用	MDM2
ACTB	相互作用	VDAC1
HSP90AA1	相互作用	TGFBR1
AKT1	相互作用	NOS3
APP	相互作用	SAE1
PRKCD	相互作用	SNCA
NOS2	相互作用	RAC2
DLG4	相互作用	PTK2B
ARRB1	相互作用	BTK
APP	相互作用	MAPK13
EP300	相互作用	PIK3R1
CSTB	相互作用	VHL
PRKCZ	相互作用	F11R
SMAD3	相互作用	TGFBR1
BCL6	相互作用	PPARGC1A
IRS1	相互作用	PRKCG
FOS	相互作用	RB1
HSPD1	相互作用	VIM
MITF	相互作用	RB1
MBP	相互作用	PBK
EGR1	相互作用	IL4
PRKCA	相互作用	PTPN11
CREB1	相互作用	ID1
ARRB1	相互作用	OPRD1
GP1BB	相互作用	TGFB1I1
CACNA1A	相互作用	GRN
ACTN1	相互作用	MAP2
PDPK1	相互作用	PTPRG
HDAC1	相互作用	FOSL1
CCNA2	相互作用	SRC
ACTG1	相互作用	NFKB1
EP300	相互作用	IL12B
NR4A1	相互作用	TP53
JAK1	相互作用	PIK3R1
HNF4A	相互作用	SP1
GTF2I	相互作用	NFKB1
GHR	相互作用	JAK1
FYN	相互作用	NCKIPSD
CREB1	相互作用	VIM
CCL3	相互作用	CCL4
HSPA1B	相互作用	BAG3
MAPK13	相互作用	RPLP2
CYP17A1	相互作用	POR
FKBP1A	相互作用	VHL
RAD51	相互作用	TP53
GSN	相互作用	VCL
CFTR	相互作用	PRKDC
SERPINA3	相互作用	NFKB1
MTOR	相互作用	STAT1
PDPK1	相互作用	SRC
RPS27A	相互作用	SRC
IRF5	相互作用	SIN3A
AKT2	相互作用	CTNNB1
IL2RB	相互作用	STAT3
YWHAB	相互作用	TUBA1A
SLC25A13	相互作用	SIRT1
LCK	相互作用	MAPK3
TP53	相互作用	KAT5
IKBKB	相互作用	JUN
PAK1	相互作用	SYN1
NRXN1	相互作用	SYT2
IL6ST	相互作用	PTPN11
SNCA	相互作用	VIM
HDAC1	相互作用	PML
GAPDH	相互作用	VIM
CASP6	相互作用	PSEN2
A2M	相互作用	CDKN1A
NRAS	相互作用	RAF1
EP300	相互作用	IFNAR2
AANAT	相互作用	F2
HSF1	相互作用	YWHAZ
CDH1	相互作用	JUP
BDNF	相互作用	NOS3
NR3C1	相互作用	PTPRN2
ESR1	相互作用	MDH2
CD44	相互作用	ACTR3
JAK1	相互作用	SYK
AR	相互作用	TP53
CD44	相互作用	SELE
CTNNB1	相互作用	HNF4A
FN1	相互作用	THBS1
RB1	相互作用	ZBTB7A
VEGFA	相互作用	NRP1
BARD1	相互作用	TOP1
CTNNB1	相互作用	FOS
ASCL1	相互作用	EP300
NOS3	相互作用	CDC37
HLA-B	相互作用	PNP
JUN	相互作用	VIM
GRB2	相互作用	HSPA5
GTF2I	相互作用	MAPK1
ESR2	相互作用	MAPK1
NPM1	相互作用	RPS6
HSP90AB1	相互作用	TUBA1A
ITGA4	相互作用	VCAM1
BMPR2	相互作用	CES1
CDH1	相互作用	CTNNA1
RPS6KB1	相互作用	SYK
CIDEA	相互作用	NR1H2
F13A1	相互作用	FGA
CSF2	相互作用	KITLG
OXCT1	相互作用	PSEN1
LRP2	相互作用	THBS1
DLG4	相互作用	MAPK12
IGF2R	相互作用	PLAU
MAP3K1	相互作用	RPL10
CD44	相互作用	FN1
CASP2	相互作用	CFLAR
MAPK1	相互作用	SNCA
APP	相互作用	CCNG1
TTR	相互作用	RAI1
CDK6	相互作用	TGFBR1
MAPT	相互作用	PPP5C
PFN1	相互作用	RAD51
GAPDH	相互作用	GRM1
CEBPB	相互作用	RB1
SPARC	相互作用	VEGFA
PCSK1	相互作用	PTK2
CAV1	相互作用	LRP1
IRS1	相互作用	PRKCQ
PARP1	相互作用	NCOA6
ATM	相互作用	TP53
MAPK1	相互作用	SLC9A1
GRK2	相互作用	PTCH1
MAPT	相互作用	MAPK1
CLU	相互作用	VLDLR
HADHA	相互作用	TNFRSF1A
EIF4EBP1	相互作用	PRKDC
AKT1	相互作用	MAPT
CFTR	相互作用	PPP2R2A
MAPT	相互作用	TUBA4A
BCL2L1	相互作用	PARK7
THRB	相互作用	NCOA6
IGFBP7	相互作用	CCL5
CREB1	相互作用	EP300
CASP1	相互作用	EGR1
ITGA4	相互作用	MDH2
SERPING1	相互作用	PLG
CALM1	相互作用	RYR2
PLK1	相互作用	TUBG1
CD5	相互作用	PTPN6
MAPK3	相互作用	TP53
CD36	相互作用	ITGB3
GADD45A	相互作用	FTL
MAP2K7	相互作用	MAPK8IP2
ALB	相互作用	GSN
APOE	相互作用	LRP2
FTH1	相互作用	FTL
ADRB2	相互作用	HTR4
GCH1	相互作用	CDC37
FKBP4	相互作用	SAE1
APOB	相互作用	CALR
CFTR	相互作用	PRKCA
MAPK8	相互作用	MAP2K2
FBP1	相互作用	PTK2
RPS27A	相互作用	WRN
COL1A1	相互作用	P4HB
PARP1	相互作用	NFKB1
HSP90AB1	相互作用	PTK2
GNAI1	相互作用	MTNR1B
MYB	相互作用	NCOR1
CAST	相互作用	FYN
GRB2	相互作用	RPLP2
CTLA4	相互作用	LCK
GCK	相互作用	PCNA
TGFB2	相互作用	TGFB3
LCK	相互作用	MAPK1
MDM2	相互作用	RB1
HSP90AB1	相互作用	PPARG
CREBBP	相互作用	CTNNB1
ITGB3	相互作用	MAPK8IP1
CCR5	相互作用	PIK3R2
GSN	相互作用	SRC
AKT1	相互作用	CASP9
GHR	相互作用	TYK2
IGF1R	相互作用	PTPN1
CSF1R	相互作用	HSP90AB1
CCNE1	相互作用	RB1
CALM1	相互作用	GRM5
DAXX	相互作用	DNMT1
DHCR7	相互作用	SLC25A13
BCL2	相互作用	MAPK8
AR	相互作用	SMARCE1
CDH1	相互作用	GSK3B
AKT1	相互作用	PAK1
KCNJ8	相互作用	ABCC9
JUN	相互作用	MAP3K1
ADRB1	相互作用	DRD4
CEBPB	相互作用	MEFV
CDKN1B	相互作用	MAPK10
RYR1	相互作用	RYR2
CHGA	相互作用	NEK2
CDC25C	相互作用	LCK
PARP4	相互作用	SMAD3
BARD1	相互作用	CDKN2AIP
HSPD1	相互作用	MYC
MMP3	相互作用	TIMP1
BMPR2	相互作用	LIMK1
SMAD3	相互作用	MYC
ASS1	相互作用	JAK2
CISH	相互作用	MYD88
ATXN3	相互作用	UBB
HSPA1B	相互作用	PLK1
ESRRA	相互作用	PPARGC1A
CASP3	相互作用	HTT
CREBBP	相互作用	MAPK10
ADRA2A	相互作用	PRKCD
PDX1	相互作用	SLC2A2
CD247	相互作用	STAT5B
EEF1A1	相互作用	NPM1
HSP90AB1	相互作用	DDR2
EIF4E	相互作用	PRKCA
NGF	相互作用	NTRK1
APP	相互作用	PPP5C
SERPINC1	相互作用	PLG
ITGA2B	相互作用	VWF
SP1	相互作用	HDAC4
ABL1	相互作用	CAV1
HSPA5	相互作用	IKBKG
MTOR	相互作用	HSPA1B
CASP7	相互作用	PSEN1
HMGB1	相互作用	PRKDC
BCL2L1	相互作用	CASP8
ARRB1	相互作用	VIM
HSPA2	相互作用	TUBA4A
TAC3	相互作用	TACR1
CHUK	相互作用	TGFBR1
FN1	相互作用	SMAD4
CREBBP	相互作用	VDR
NOTCH2	相互作用	PSEN2
CAV1	相互作用	ABCB1
GRB2	相互作用	ITK
PARP1	相互作用	RELA
RAF1	相互作用	VDAC1
CREB1	相互作用	SREBF2
HSP90AB1	相互作用	IGF1R
PPP2R1A	相互作用	TP53
SLC25A4	相互作用	CDK2
CD40LG	相互作用	EGR1
DLG4	相互作用	ERBB2
PLAUR	相互作用	STAT1
NTRK1	相互作用	MAPK3
GP1BA	相互作用	GP1BB
GRB2	相互作用	CDKL5
GSK3B	相互作用	TUBG1
EGR1	相互作用	PTEN
ITGB3	相互作用	PDGFRA
GAD1	相互作用	PRKCE
ERBB3	相互作用	HSP90AB1
WEE1	相互作用	YWHAB
CDKN2A	相互作用	VHL
GRB2	相互作用	GSTP1
SMAD2	相互作用	RXRA
PRKCG	相互作用	KDM1A
CSF2	相互作用	CSF3R
MAP1B	相互作用	PRKAG2
CSTB	相互作用	CTSH
GLUL	相互作用	HTR2A
CREBBP	相互作用	TLR2
KLK3	相互作用	JAK2
NPM1	相互作用	TUBA1A
CASP9	相互作用	GZMB
NR3C1	相互作用	SMAD3
EGR1	相互作用	GLUL
APOA1	相互作用	APP
ADRB1	相互作用	DLG4
PIP4K2A	相互作用	RAC1
ABCA1	相互作用	SPTLC1
GNAI1	相互作用	CXCR4
C1R	相互作用	EP300
SMAD2	相互作用	TP53
TAC3	相互作用	TACR3
NOS1	相互作用	RASD1
ID1	相互作用	TCF4
CLU	相互作用	TTR
HSPD1	相互作用	PLG
LMNA	相互作用	NPM1
HNF4A	相互作用	SREBF2
CHUK	相互作用	TPM3
CDC25A	相互作用	UBB
CDC25B	相互作用	CDK2
NFKBIA	相互作用	PIK3R1
GSK3B	相互作用	SGK3
INSR	相互作用	PRKCA
ESR1	相互作用	PHGDH
HFE	相互作用	HSPA5
EGFR	相互作用	HSP90AA1
LGALS1	相互作用	YWHAZ
MITF	相互作用	MAPK1
ESR1	相互作用	XBP1
LRP1	相互作用	USP3
IL2	相互作用	JUN
SMAD7	相互作用	SIRT1
PLSCR1	相互作用	PRKCD
HLA-DQA1	相互作用	IKBKG
SERPINA3	相互作用	CMA1
EGR1	相互作用	MAP2K2
BAK1	相互作用	HSPD1
HBA2	相互作用	PTEN
MYH9	相互作用	PTPN6
UBE2I	相互作用	HDAC4
AHR	相互作用	CXCL8
ATM	相互作用	WRN
GLI3	相互作用	PRKCA
CD40	相互作用	CD40LG
ID1	相互作用	IKBKG
HSP90AA1	相互作用	VCP
DLG4	相互作用	GRIN1
ACTN1	相互作用	PTK2
NOS2	相互作用	SLC7A5
NR4A1	相互作用	NFKB1
ACTN1	相互作用	CDK5
NR5A1	相互作用	NRIP1
F3	相互作用	F10
TOP2B	相互作用	TP53
ALB	相互作用	APOE
THRA	相互作用	NCOA1
DRD5	相互作用	GNA12
NFKB1	相互作用	HDAC4
ARRB1	相互作用	SNCA
PRKCZ	相互作用	RELA
HSPD1	相互作用	IKBKB
TGFB1I1	相互作用	TGFBR2
PCNA	相互作用	TOP1
ACTB	相互作用	MYC
NR3C1	相互作用	MDM2
MCL1	相互作用	MAPK10
GPI	相互作用	PCNA
CDKN2A	相互作用	TOP1
WIPF1	相互作用	ZAP70
FASLG	相互作用	DMD
NCOA1	相互作用	NR1I2
CSF2RB	相互作用	SYK
PIK3R1	相互作用	WAS
SLC25A4	相互作用	HSP90AB1
F2R	相互作用	GNA12
ESRRB	相互作用	NRIP1
CASP8	相互作用	TNFRSF10A
CTSD	相互作用	CCL20
GJA1	相互作用	SRC
ALK	相互作用	ITK
FGFR3	相互作用	STAT1
MDM2	相互作用	TERT
MARK3	相互作用	YWHAZ
ALAS1	相互作用	WIPF1
GRIN2B	相互作用	PRKCA
AKT1	相互作用	IKBKB
ALB	相互作用	HNF1A
ESR1	相互作用	VDAC1
ACTG1	相互作用	TRAF1
HSP90AB1	相互作用	PPP5C
CFTR	相互作用	AIFM1
F5	相互作用	F10
PRKDC	相互作用	THRA
EGFR	相互作用	STAT3
GNAI1	相互作用	TSHR
IGFALS	相互作用	IGFBP5
LMNA	相互作用	TOP2A
SCNN1A	相互作用	SCNN1B
LMNA	相互作用	MAX
CDK4	相互作用	CDC37
PLG	相互作用	SPARC
PRKCA	相互作用	CD163
BARD1	相互作用	RFC2
ITGA4	相互作用	PDHA1
CREB1	相互作用	THRA
HSPA1B	相互作用	MAPT
SERPINA3	相互作用	MMP1
RELA	相互作用	TGM2
NFE2	相互作用	MAPK8
EP300	相互作用	SREBF2
MDM2	相互作用	SDHC
STAT1	相互作用	TYK2
SRC	相互作用	TRAF1
MAPK9	相互作用	TP53
AR	相互作用	DAXX
STAT1	相互作用	CXCR4
CREBBP	相互作用	FOS
CALR	相互作用	TSHR
HSP90AA1	相互作用	NR2C2
AGTR1	相互作用	ARRB1
SLC12A1	相互作用	STK39
HDAC1	相互作用	KAT5
C3	相互作用	CPN1
CEBPB	相互作用	CCR5
BRCA1	相互作用	UBE2I
CREBBP	相互作用	PRKCD
ALK	相互作用	JAK2
EGR1	相互作用	IL1A
CYBB	相互作用	IRF8
PRKCZ	相互作用	MAPK3
GTF2I	相互作用	MAPK3
CAV2	相互作用	DRD1
ZFHX3	相互作用	JUN
AKT1	相互作用	SMAD2
APP	相互作用	RLBP1
CDKN2A	相互作用	MTR
CYP2C19	相互作用	POR
CREBBP	相互作用	MGMT
ABL1	相互作用	NCKIPSD
HDAC1	相互作用	SMAD2
ABL1	相互作用	EGR1
CPT1A	相互作用	CYBA
CCNB1	相互作用	CDC25A
VDAC1	相互作用	VIM
SMARCE1	相互作用	SRC
APOA1	相互作用	FGA
EGFR	相互作用	PCNA
ASL	相互作用	NEDD8
CTNNB1	相互作用	PTPN11
IFNGR1	相互作用	JAK2
EP300	相互作用	TGFBR1
CTTN	相互作用	MET
GAPDH	相互作用	KAT5
BSG	相互作用	SLC2A4
FLT4	相互作用	HSP90AB1
SNCA	相互作用	PARK7
CREBBP	相互作用	IFNA2
HSP90AB1	相互作用	MAP3K1
LCK	相互作用	SYK
FABP1	相互作用	GRB2
MAPK3	相互作用	BAZ1B
CDC25A	相互作用	YWHAB
PLAT	相互作用	SPARC
HDAC1	相互作用	STAT1
EIF4EBP1	相互作用	MTOR
C1QA	相互作用	C1QB
MMP3	相互作用	SPARC
ADRA2C	相互作用	UCHL1
ALK	相互作用	HSP90AB1
DES	相互作用	UBE2I
EGR1	相互作用	SP1
APP	相互作用	RPS6KB1
CEBPB	相互作用	CXCL8
CASP9	相互作用	EP300
SERPINA3	相互作用	ELANE
IKBKG	相互作用	MERTK
AKT1	相互作用	ARRB1
IRS1	相互作用	YWHAZ
HSPA5	相互作用	RELA
ESR1	相互作用	NOS3
NFKB1	相互作用	PML
PAPPA	相互作用	PLG
BCL6	相互作用	EP300
ACTG1	相互作用	ANXA5
ITGB3	相互作用	F11R
JUN	相互作用	PRKDC
CCNE1	相互作用	PRKAR1A
CDK4	相互作用	HSP90AA1
CTBP1	相互作用	HDAC1
GSK3B	相互作用	MAP2K5
AR	相互作用	SIN3A
RAF1	相互作用	PBK
ATP1A1	相互作用	ESR1
GADD45A	相互作用	NPM1
BRAF	相互作用	MAP3K1
XIAP	相互作用	CASP7
NOS1	相互作用	PTPRN
PARP1	相互作用	VCAM1
DCN	相互作用	TGFB2
CST3	相互作用	CSTB
ETS1	相互作用	NR3C1
AKT2	相互作用	CASP3
JUN	相互作用	NFKB1
HIF1A	相互作用	NR4A1
RAI1	相互作用	MAPK8IP2
HSPB1	相互作用	VCAM1
FOS	相互作用	NFATC3
ITGA4	相互作用	SDHA
EGFR	相互作用	PRKCB
SNAI1	相互作用	CTDSP1
MYH9	相互作用	VCAM1
HTT	相互作用	TP53
HRAS	相互作用	RAF1
DRD4	相互作用	GRB2
CASP8	相互作用	PRKCZ
HSPB1	相互作用	PRKCD
RHOA	相互作用	GNA12
HSPA5	相互作用	TUBB4A
APCS	相互作用	COL4A1
CTNNA1	相互作用	JUP
MAPK10	相互作用	SLC9A1
A2M	相互作用	PDGFA
PEBP1	相互作用	PRKCG
FKBP5	相互作用	NR2C2
CCND1	相互作用	CREBBP
RAD51	相互作用	VIM
APEX1	相互作用	MDM2
ACAT1	相互作用	HLA-B
HSP90AA1	相互作用	TNFRSF1A
CDKN2A	相互作用	MDM2
C8B	相互作用	CLU
CLU	相互作用	NR4A1
MAX	相互作用	MYC
JUN	相互作用	MAPK3
TGFB3	相互作用	TGFBR1
PLK1	相互作用	TNFSF11
GRIN1	相互作用	PPP2R1A
FYN	相互作用	PLAUR
GRM5	相互作用	PRKCA
IGF1R	相互作用	IGF2
PLK1	相互作用	PLK2
CEBPB	相互作用	HSF1
EEF1A1	相互作用	SMAD4
CAST	相互作用	SRC
PDGFRB	相互作用	EIF2AK2
NR3C1	相互作用	PPP3CA
CDK2	相互作用	SP1
COMT	相互作用	VCP
CTSK	相互作用	FGFR3
MAPK13	相互作用	YWHAB
SMAD3	相互作用	VDR
CASP3	相互作用	MET
HSP90AA1	相互作用	ZAP70
PGR	相互作用	MAPK1
NFKB2	相互作用	SP1
IL2RB	相互作用	JAK2
FOSL2	相互作用	NOS2
GSK3B	相互作用	PTK2
F12	相互作用	MMP13
EGR1	相互作用	HK1
HOXA9	相互作用	SMAD4
SP1	相互作用	STAT3
ADRB2	相互作用	GNAS
ADORA2A	相互作用	DRD2
MEN1	相互作用	MYH9
RPSA	相互作用	PROS1
PAK1	相互作用	PRKCD
GRIN2A	相互作用	SRC
BCL2	相互作用	PML
SFN	相互作用	MARK3
ERBB3	相互作用	PIK3CA
PML	相互作用	RB1
EP300	相互作用	NR1H4
RHOA	相互作用	UBB
GRN	相互作用	TAT
PGR	相互作用	SMARCE1
CRYM	相互作用	CDC37
A2M	相互作用	IL10
PAK1	相互作用	RAC1
DRD4	相互作用	GABRA1
HADHB	相互作用	SMN2
CHAT	相互作用	PRKCG
MAP1A	相互作用	TUBA4A
ITGA4	相互作用	LMNA
ADRB2	相互作用	PPP3CA
HTT	相互作用	VCP
PML	相互作用	MAPK7
TUBA4A	相互作用	NCOA6
ATM	相互作用	PTS
COL1A2	相互作用	FN1
CDKN2A	相互作用	HNRNPA2B1
CTTN	相互作用	WIPF1
ESR2	相互作用	HSP90AA1
HNF4A	相互作用	SERPINA1
HSP90AA1	相互作用	NLRP3
PPARA	相互作用	NRIP1
MMP9	相互作用	THBS1
ANXA5	相互作用	CDK2
MYC	相互作用	TUBA1A
FGFR3	相互作用	GRB2
TNFRSF1B	相互作用	TRAF1
PTPRN	相互作用	MADD
HSP90AA1	相互作用	PIM1
IKBKG	相互作用	TUBB4A
SMAD3	相互作用	PPP2R1A
MYB	相互作用	KAT5
HSPD1	相互作用	YWHAZ
CASP3	相互作用	MDM2
ATP1A3	相互作用	HSPD1
ATP2A2	相互作用	TNF
NFKB1	相互作用	SIN3A
PRKCG	相互作用	YWHAB
CALM1	相互作用	NFKB1
FYN	相互作用	RAF1
APOE	相互作用	LDLR
ESR1	相互作用	FKBP5
ACTN1	相互作用	FBP1
MTOR	相互作用	YWHAZ
GRB2	相互作用	KDR
GABBR1	相互作用	PIK3R1
MMP12	相互作用	PLAUR
IGF1	相互作用	IGFBP3
VCP	相互作用	VIM
OPRD1	相互作用	OPRM1
DLG4	相互作用	HTR2A
APP	相互作用	CTNNB1
GABRA1	相互作用	GABRA3
SMAD2	相互作用	TGFBR1
ITGB2	相互作用	YWHAB
CCND1	相互作用	CDK4
PRKACA	相互作用	PPP1R1B
CDK4	相互作用	PPP2R1A
HLA-B	相互作用	TPM3
CREBBP	相互作用	SRC
MS4A2	相互作用	SYK
GRB2	相互作用	PTPN11
PPARA	相互作用	TNP1
F2R	相互作用	PLG
NR4A1	相互作用	TCF4
MS4A1	相互作用	FYN
EPOR	相互作用	GNAI1
ESR1	相互作用	KYNU
NPM1	相互作用	VCAM1
ELANE	相互作用	F2R
KLK3	相互作用	IGFBP3
CREB1	相互作用	SMARCA4
IRS1	相互作用	PTPN1
PDPK1	相互作用	RPS6KA3
TOP1	相互作用	VCAM1
RORA	相互作用	NCOA1
SMAD2	相互作用	SP1
MYH9	相互作用	RAC1
PLG	相互作用	PRDX4
SLC12A6	相互作用	STK39
CRH	相互作用	CRHR1
NPR1	相互作用	PSEN1
BRCA1	相互作用	KIF1B
LCK	相互作用	PRKCD
CD36	相互作用	COL1A2
CAV1	相互作用	TGFBR1
CCNA2	相互作用	HIRA
GSTP1	相互作用	MAP3K5
HSP90AA1	相互作用	STAT3
NOS2	相互作用	AIFM1
VDR	相互作用	NCOA6
CACNA1A	相互作用	LRP1
EP300	相互作用	SP1
CTSK	相互作用	KNG1
GADD45A	相互作用	DNMT1
FOS	相互作用	VDR
PTK2B	相互作用	FYN
MAPK1	相互作用	MAP2K7
CD3D	相互作用	CD247
PTCH1	相互作用	SMO
AQP1	相互作用	RGS17
CDK2	相互作用	FKBP4
HSPA1B	相互作用	CUL4A
PMAIP1	相互作用	UCHL1
HSPA1B	相互作用	HSP90AB1
MAPK8IP1	相互作用	MAPK8IP2
CDK4	相互作用	CDKN2B
KLF5	相互作用	EGR1
PPARA	相互作用	NCOR1
ACVRL1	相互作用	TGFBR2
CAV1	相互作用	FLNA
ABL1	相互作用	EGFR
IGFBP7	相互作用	VEGFA
CDKN1A	相互作用	NR1H2
KIT	相互作用	LCK
CAPN1	相互作用	COL3A1
CDKN2A	相互作用	MAPK10
AGT	相互作用	ENPEP
HSP90AA1	相互作用	PAK1
CYP17A1	相互作用	HSP90AB1
CISH	相互作用	GHR
ABL1	相互作用	SRC
CCNE1	相互作用	POLA1
FTH1	相互作用	LBP
EEF1A1	相互作用	SCN1A
LRP1	相互作用	MMP9
ERBB2	相互作用	ERBB4
MYH9	相互作用	CD163
BCL2	相互作用	SMN1
NR1I2	相互作用	NCOR1
PTK2	相互作用	TP53
CFTR	相互作用	TPM3
SYK	相互作用	TNFRSF1A
CTNNB1	相互作用	VCL
NOS3	相互作用	SP1
EGFR	相互作用	EGR1
CHGA	相互作用	CDC37
BCL2	相互作用	CASP8
EEF1A1	相互作用	HSPD1
ESR1	相互作用	FOS
NOS2	相互作用	PPP2R1A
HSP90AA1	相互作用	SP1
BCL6	相互作用	CACNA1A
EGFR	相互作用	GSN
ACTG1	相互作用	MAP1A
CDC20	相互作用	HDAC1
CSF3R	相互作用	RPS27A
AKT2	相互作用	CDC37
SMAD3	相互作用	SMAD7
HSP90AA1	相互作用	LIMK1
HSP90AA1	相互作用	MDM2
HTT	相互作用	SP1
EPOR	相互作用	KITLG
GNAI1	相互作用	RGS17
GABRA1	相互作用	PRKCG
SERPINA3	相互作用	APP
GSK3B	相互作用	SGK1
COL2A1	相互作用	RELA
APP	相互作用	IRS1
PARP1	相互作用	BCL2
DSP	相互作用	PRKCE
ADM	相互作用	MME
CDC42	相互作用	GRB2
SP1	相互作用	TPI1
CASP8	相互作用	TSC22D3
FYN	相互作用	PRKCE
EGFR	相互作用	CDCP1
EEF1A1	相互作用	NRAS
HLA-B	相互作用	PPIB
BMPR2	相互作用	PMPCA
HSP90AA1	相互作用	MERTK
