154447-36-6	DB02656
5,7-dihydroxy-3-(4-hydroxybenzyl)chroman-4-one	Compound1554
5,7-dihydroxy-6,8-dimethyl-3-(2'-hydroxy-4'-methoxybenzyl)chroman-4-one	Compound1555
5,7-Dihydroxy-6,8-dimethyl-3-(4'-hydroxy-3'-methoxybenzyl)chroman-4-one	Compound1556
5,7-dihydroxy-6-methyl-3-(2',4'-dihydroxybenzyl)chroman-4-one	Compound1557
5E,10(14)-Germacradien-1-beta,4-beta-diol	Compound1558
5-Hydroxyalizarin-1-methylether	Compound1559
6-(P-Tolyl)-2-methyl-2-heptenol,trans-	Compound1560
7-hydroxy-3-(2-hydroxy-3,4-dimethoxy-phenyl)chromone	Compound1561
7-Methoxy-2-methyl isoflavone	Compound1562
Acetonylevodiamine	Compound1563
Agathodienediol	Compound1564
alpha-iso-cubebenol	Compound1565
beta-4,8,13-Duvatriene-1,3-diol	Compound1566
-beta-4,8,13-Duvatriene-1,3-diol	Compound1567
Candidin	Compound1568
combretastain A4	Compound1569
corylinal methyl ether	Compound1570
eudesm-4(15),7-diene-9  ,11-diol	Compound1571
Germacra-1(10),4,11(13)-trien-12-ol	Compound1572
Goshuyuamide-I	Compound1573
Isodaucenol	Compound1574
Labda-8(17),13E-diene-3  ,15-diol	Compound1575
Labdadiene	Compound1576
lanceol	Compound1577
Lanceol,cis	Compound1578
macrophypene B	Compound1579
PD 98059	Compound1580
Sarcophytol T	Compound1581
Shizuka-acoradienol	Compound1582
  -Cembrenediol	Compound1583
3-isopropyl-6-isobutyl-2,5-dioxopiperazine	Compound1584
3-isopropyl-6-isobutyl-2,5-piperazinedione	Compound1585
3-Oxoisotaxodione	Compound1586
Chilenamine	Compound1587
Cyclo-(Ile-Val)	Compound1588
Cyclo-(Leu-Ile)	Compound1589
Cyclo-(Leu-Val)	Compound1590
cyclo(Pro-Leu)	Compound1591
L-isobutyl-Lvaline anhydride	Compound1592
sinactine	Compound1593
tetrahydroepalmatine	Compound1594
Thalictrifoline	Compound1595
ZINC04023242	Compound1596
  -Santalic acid	Compound1597
(-)-3,4-dimethoxy-3,4-desmethylenedioxycubebin	Compound1598
(-)Arctigenin	Compound1599
(2S,3S)-2-(4-Hydroxy-3,5-dimethoxybenzyl)-3-(3,4-methylene-dioxybenzyl)butyrolactone	Compound1600
(2S,3S)-2-(4-Hydroxy-3,5-dimethoxybenzyl)-3-(5-methoxy-3,4-methylenedioxybenzyl)butyrolactone	Compound1601
(2S,3S)-2-(4-Hydroxy-3-methoxybenzyl)-3-(5-methoxy-3,4-me-thylenedioxybenzyl)butyrolactone	Compound1602
(2S,3S)-2-(5-Methoxy-3,4-methylenedioxybenzyl)-3-(3,4-methyl-enedioxybenzyl)butane-1,4-diol	Compound1603
(8R,8'R)-4-Hydroxycubebinone	Compound1604
1-(4-hydroxy-3-methoxyphenyl)-7-(4-hydroxyphenyl)-3-heptanone	Compound1605
1  ,2  -dehydrocyclokievitone	Compound1606
1-Gingerol	Compound1607
2,2'-dimethoxy-4,4'-(tetrahydro-furan-3,4-diyldimethyl)-bis-phenol	Compound1608
2-butanone,4-(4-hydroxy-3-methoxyphenyl)-	Compound1609
2-Gingerol	Compound1610
3,4-Dimethoxy-3',4'-methylenedioxy-7,9'-epoxylignan-9-ol	Compound1611
3-Gingerol	Compound1612
4    Demethyldeoxypodophyllotoxin	Compound1613
5-(4'-hydroxy-3'-methoxyphenyl)-3-hydroxy-1-pentanal	Compound1614
5-hydroxy-1-(4'-hydroxy-3'-methoxyphenyl)-4-hexa-decen-3-one	Compound1615
5-methoxy-7-(4-hydroxy-33methoxy phenyl)-1-phenyl-3-heptanone	Compound1616
5-methoxy-7-(4-hydroxy-3-methoxy phenyl)-1-phenyl-3-heptanone	Compound1617
5-methoxy-7-(4-hydroxy-3-methoxyphenyl)-1-phenyl-3-heptanone	Compound1618
7-hydroxyaustrobailignan 5	Compound1619
8,11,13-Icetexantrien-10,11,12-triol	Compound1620
alpinoid B	Compound1621
a-O-Methylcubebin	Compound1622
aristolactone	Compound1623
Asteriscunolide A	Compound1624
Asteriscunolide C	Compound1625
Asteriscunolide D	Compound1626
buplerol	Compound1627
Bursehemin	Compound1628
bursehernin	Compound1629
deangeloylgomisin B	Compound1630
deangeloylgomisin F	Compound1631
descurainolide A	Compound1632
Dextrobursehernin	Compound1633
Diarylheptanoid CPB-51-262-4	Compound1634
Eclipta prostrata Lignans A	Compound1635
hemiariensin	Compound1636
Isoarctigenin	Compound1637
isohinokinin	Compound1638
kusunokinin	Compound1639
Matairesil	Compound1640
matairesino	Compound1641
MAX	Compound1642
Meridinol	Compound1643
Millettocalyxin A	Compound1644
Neonootkatol	Compound1645
picropolygamain	Compound1646
Pisiferal	Compound1647
Pisiferic acid	Compound1648
polygamain	Compound1649
prestegane B	Compound1650
Pyramidatin F	Compound1651
Pyramidatin G	Compound1652
Pyramidatin H	Compound1653
saucerneol J	Compound1654
semiaquilegoside A deglycosylation	Compound1655
Sikkimotoxin	Compound1656
Tetrahydropiperic acid	Compound1657
trans-1(3'-methoxy-4'-hydroxyphenyl)-7-phenyl-5-ol-4,6-dien-3-heptanone	Compound1658
Versicolactone A	Compound1659
Yakuchinone A	Compound1660
  -O-Methylcubebi	Compound1661
  -O-Methylcubebin	Compound1662
11-Methoxy-nor-yangonin	Compound1663
12,13-dihydro-13-hydroxybakuchiol	Compound1664
15,17-Dihydrotanshinone I	Compound1665
2,5-dimethyl-7-methoxychromone	Compound1666
4  -Hydroxy-5,6-dehydrokawain	Compound1667
8,17-epoxy-14-deoxyandrographolide	Compound1668
Backuchiol	Compound1669
Cyclopiloselloidone	Compound1670
Dehydrobaimuxinol	Compound1671
dihydrotanshinone IIA	Compound1672
evobioside deglycosylation	Compound1673
favesone	Compound1674
Isoeugenitin	Compound1675
Isotanshinone  B	Compound1676
Leoheteronin E	Compound1677
Przewaquinone B	Compound1678
Quinquqngulin	Compound1679
saikochromone,a	Compound1680
Tylophoridicine D	Compound1681
Tylophoridine	Compound1682
(7e)-2beta,3alpha-dihydroxy-megastigm-7-en-9-one	Compound1683
14-Deoxy-11-oxoandrographolide	Compound1684
19-hydroxy-8(17),13-ent-Iabdadien-15,16-olid	Compound1685
19-hydroxy-ent-labda-8(17),13-dien-15,16-olide	Compound1686
3,14-di-deoxyandrographolide	Compound1687
3-dehydrodeoxy andrographolide	Compound1688
3-oxo-14-deoxyandrographolide	Compound1689
7(R)-hydroxy-14-deoxyandrographolide	Compound1690
aractylenolide   	Compound1691
callicapene M3	Compound1692
Charminarone	Compound1693
Crolaunine B	Compound1694
Labda-8(17),13(14)-dien-15,16-olide	Compound1695
Launine C	Compound1696
sucutinirane B	Compound1697
sugeonyl acetate	Compound1698
7-Methyl juglone	Compound1699
agatholic acid	Compound1700
Alepterolic acid	Compound1701
japonin D	Compound1702
(E)-3-(3-hydroxy-4,5-dimethoxy-phenyl)acrylic acid	Compound1703
3-(4-hydroxy-3-ethoxyphenyl)-2-acrylic acid	Compound1704
Sodium Sinapate	Compound1705
TMCA (2,4,5-Trimethoxy-cinnamic Acid)	Compound1706
(  )-Murpaniculol	Compound1707
(2-hydroxyphenyl)methyl benzoate	Compound1708
(2R)-4'-Hydroxy-3'-methoxyphenyl-2-butanol	Compound1709
(E)-p-coumaryl alcohol gamma-O-methyl ether	Compound1710
(Z)-3-(3,4,5-trimethoxyphenyl)acrylic acid	Compound1711
(Z)-4-methoxycinnamic acid	Compound1712
(Z)-p-Methoxycinnamic acid	Compound1713
1,4-dimethoxy-naphthalene	Compound1714
1,5,6-trimethoxyphenanthrene-2,7-diol	Compound1715
1,5-Dimethoxy-3-hydroxybenzoic acid	Compound1716
1,7-Dimethoxynaphthalene	Compound1717
2,3,4,7-tetramethoxyxanthone	Compound1718
2,4,5-Trimethoxybenzoic acid	Compound1719
2,4'-Dihydroxy-5-carboxy-dibenyl ether	Compound1720
2,4-dimethoxy-3-hydroxybenzoic acid	Compound1721
2,6-Dihydroxy-4-methoxybenzoic acid ethyl ester	Compound1722
2-hydroxy-6-methoxybenzyl-2-methoxybenzoate	Compound1723
2-hydroxyl-5-methoxybenzoic acid	Compound1724
2-Methoxy-4-(3-methoxy-1-propenyl)-phenol	Compound1725
3-(4-Methoxyphenyl)-2-methyl-2-acrylic acid	Compound1726
3,4,6-trimethoxyphenanthrene-2,7-diol	Compound1727
3,4,7-trimethoxycoumarin	Compound1728
3,5-Dimethoxy-4-hydroxybenzaldehyde	Compound1729
3-Ethoxy-4-hydroxybenzoic acid	Compound1730
3-hydroxy-5-methoxy-benzoic acid	Compound1731
4-(3-(benzoyloxy)-1-propenyl)-2-methoxy-	Compound1732
4-alpha,10-alpha-Aromadendranediol	Compound1733
4-beta,10-alpha-Dihydroxyaromadendrane	Compound1734
4-hydroxy-2-methoxybenzoic acid	Compound1735
4-METHOXY-1-NAPHTHOL	Compound1736
5,8-Dimethoxyxanthyletin	Compound1737
5-Methoxy-7-hydroxymethyl coumarin	Compound1738
6-hydroxymethyl-7-methoxycoumarin	Compound1739
6-Methoxy-7,8-methylenedioxy coumarin	Compound1740
7-hydroxy-6-(2-hydroxyethyl)coumarin	Compound1741
8-(3-hydroxy-isovaleryl)-5,7-Dimethoxycoumarin	Compound1742
8-Isopentenyllimettin	Compound1743
alloaromadendrane-7alpha,11alpha-diol	Compound1744
Angelitriol	Compound1745
Aromadendrane-4-beta,10-beta-diol	Compound1746
Aromadendrane-4  ,10  -diol	Compound1747
aromadendrane-7alpha,11alpha-diol	Compound1748
aromadendrane-7beta,11alpha-diol	Compound1749
coniferyl alcohol	Compound1750
Coniferyl benzoate	Compound1751
Daphnetin-7-methyl ether	Compound1752
DemethylaristofolinE	Compound1753
Dendrobane A	Compound1754
Diarylheptanoid CPB-51-262-2	Compound1755
dimethyl 2-hydroxyterephthalate	Compound1756
Ethyl vanillate	Compound1757
ethyl-5-ethoxy-2-hydroxybenzoate	Compound1758
Hemipic acid	Compound1759
Isooxypeucedanin	Compound1760
methyl (3-hydroxy-2-oxo-2,3-dihydroindol-3-yl)acetate	Compound1761
Methyl 2-hydroxy-3,4-dimethoxy benzoate	Compound1762
m-Hemipic acid	Compound1763
Muurolane-4-beta,5-beta,10-beta-triol	Compound1764
Myristargenol B	Compound1765
oxypeucedanin hydrate 3-butyl ether	Compound1766
oxypeucedanin,hydrate,3-butyl,ether	Compound1767
Pabulenol	Compound1768
Paniculin	Compound1769
peucedanol	Compound1770
Pranferol	Compound1771
Samarcandin	Compound1772
Schinicoumarin	Compound1773
ST5407144	Compound1774
swietenol	Compound1775
Syringic alcohol	Compound1776
zingerol	Compound1777
Corylinal	Compound1778
(-)-isaindigotone	Compound1779
(3R)-5'-Methoxyvestitol	Compound1780
1,7-bis(4-hydroxyphenyl)-1,5-epoxy-3-hydroxyheptane	Compound1781
18-Hydroxy-13-methoxy-8,12-podocarpadiene-11,14-dione	Compound1782
2-(4-cyclohexylphenoxy)ethanol	Compound1783
2  -hydroxy dihydroguaiaretic acid	Compound1784
3-(4'-hydroxy-3'-methoxyphenyl)-1-propanal	Compound1785
3-beta-Hydroxy-13-methoxy-8,12-podocarpadiene-11,14-dione	Compound1786
3  -Hydroxy-13-methoxy-8,12-podocarpadiene-11,14-dione	Compound1787
4-(3',4',5'-trimethoxyphenyl)-2-butanone	Compound1788
4-(3',4'-dihydroxy-5'-methoxyphenyl)-2-butanone	Compound1789
4-(3'-hydroxy-4',5'-dimethoxyphenyl)-2-butanone	Compound1790
4-(4'-hydroxy-3',5'-dimethoxyphenyl)-2-butanone	Compound1791
4(4'-hydroxybenzyloxy)benzyl methyl ether	Compound1792
4,5-phenanthrenediol, 9,10-dihydro-2,3,6-trimethoxy-	Compound1793
4-Methoxy-2-pentyl-phenol	Compound1794
5-(4-hydroxy-3-methoxy-phenyl)-1-piperidino-penta-2,4-dien-1-one	Compound1795
7,2'-dihydroxy-3',4',6'-trimethoxyisoflavan	Compound1796
7-dihydroxy-3',4'-dimethoxyisoflavane	Compound1797
Bulbophyllidin	Compound1798
cannabispiradienone	Compound1799
Duartin	Compound1800
gomisin K1	Compound1801
gomisin K2	Compound1802
gomisin K3	Compound1803
Gomisin T	Compound1804
Homokiol	Compound1805
isochisandrin	Compound1806
isodiphyllin	Compound1807
Isoschizandrin	Compound1808
ligballinol	Compound1809
Melilotocarpan C	Compound1810
Schisandrol	Compound1811
1,2-Dimethoxyanthraquinone	Compound1812
2-(4-hydroxyphenyl)ethyl acetate	Compound1813
3'-O-Methyl brazilin	Compound1814
4-(2-hydroxypropyl)phenol	Compound1815
5,7-Dihydroxy-3-(4-methoxy-phenyl)-4-oxo-4H-chromen-2-carbonsaeure-aethyleste	Compound1816
Lemairamide	Compound1817
N-cis-feruloyl tyramine	Compound1818
N-p-Feruloyltyramine	Compound1819
N-trans-4-O-Methylferuloyl 3',4'-O-dimethyldopamine	Compound1820
N-trans-4-O-Methylferuloyl 4'-O-methyldopamine	Compound1821
N-trans-feruloyl-3-methoxytyramine	Compound1822
N-trans-Feruloyl-4'-O-methyldopamine	Compound1823
1-(Phenylsulfonyl)pyrrole	Compound1824
15-cinnamoyloxy-oplopanone	Compound1825
2-(1,1-dimethylethyl)-1,4-dimethoxy-benzene	Compound1826
2,4-bis (1,1-dimethylethyl)-phenol	Compound1827
2,6-Bis(1,1-dimethylethyl)-4-methyl phenol	Compound1828
2,6-DIETHYL-4-METHYLPHENOL	Compound1829
2,6-Ditertbutyl-4methyl phenol	Compound1830
2-tert-butyl-4-hydroxyanisole	Compound1831
3,5-Dimethyl-4-methoxybenzoic acid	Compound1832
3,5-Di-t-butylphenol	Compound1833
Butylated hydroxyanisole	Compound1834
cinnamophilin	Compound1835
cis-2-methoxycinnamic acid	Compound1836
Hibicuslide C	Compound1837
Thymol hydroquinone dimethyl ether	Compound1838
Vitamin B1.mol2	Compound1839
Waitziacuminone	Compound1840
4-coumaroyltyramine (CT)	Compound1841
4-methoxymachilin D	Compound1842
9'-O-Methylamericanol A	Compound1843
coumaroyltyramine	Compound1844
eythro-1-(4-hydroxy-3-methoxyphenyl)-2-(2-meth-oxy-4(E)-propenylphenoxy)-propan-1-ol	Compound1845
N-(trans-p-Coumaroyl) tyramine	Compound1846
neolignan	Compound1847
.alpha.-T COOH deriv.	Compound1848
5-(2-thienyl)-	Compound1849
5-(3-hydroxy-4-acetoxybutyn-1)-bithiophene	Compound1850
alpha-Terthienyl methanol	Compound1851
arctinol A	Compound1852
N-(2,6-Dioxo-1-phenethyl-piperidin-3-yl)-2-methyl-butyramide	Compound1853
(R)-heraclenol	Compound1854
16-Hydroxytriptonide	Compound1855
17-Hydroxytriptonide	Compound1856
5-(2-hydroxy-3-methoxy-3-methylbutoxy)psoralen	Compound1857
Anhydrobyankangelicin	Compound1858
evodine	Compound1859
Haploperine	Compound1860
hydrate oxypeucedanin	Compound1861
isobyakangelicin	Compound1862
iso-tert-o-methylbyakangelicin	Compound1863
Oxypeucedanin ethanolate	Compound1864
(2Z)-2-(2-oxoindolin-3-ylidene)indolin-3-one	Compound1865
compound 10	Compound1866
12(S)-Hydroxy-15,16-epoxy-8(17),13(16),14-ent-labdatrien-20,19-olide	Compound1867
6-Acetylfuranofukinol	Compound1868
AIDS446185	Compound1869
caesaldekarin K	Compound1870
dictamdiol,b	Compound1871
diosbuilbin M	Compound1872
Diosbulbin A	Compound1873
Diosbulbin B	Compound1874
Diosbulbin C	Compound1875
diosbulbin D	Compound1876
diosbulbin E	Compound1877
diosbulbin G	Compound1878
diosbulbin M	Compound1879
diosbulbin N	Compound1880
Galeopsin	Compound1881
isodictamdiol	Compound1882
N-Candicine	Compound1883
neodiosbulbin	Compound1884
Pyramidatin A	Compound1885
Pyramidatin B	Compound1886
Pyramidatin C	Compound1887
Pyramidatin D	Compound1888
Pyramidatin E	Compound1889
Venenatine	Compound1890
Hernandine A	Compound1891
Hernandine B	Compound1892
Oxoepistephamiersine	Compound1893
Oxostephamiersine	Compound1894
Stephamiersine	Compound1895
Stephasunoline	Compound1896
(1R,3R)-1-methyl-2,3,4,9-tetrahydro-1H-$b-carboline-3-carboxylic acid	Compound1897
(1S,3S)-1-methyl-1,2,3,4-tetrahydro-  -carboline-3-carboxylic acid	Compound1898
1-methyl-1,2,3,4-tetrahydro-  -carboline-3-carboxylic acid	Compound1899
dehydrocavidine	Compound1900
Dihydropalmatine	Compound1901
koenidine	Compound1902
Koenigine	Compound1903
Mahanimbinine	Compound1904
mukonicine	Compound1905
Murrayacine	Compound1906
Murrayamine-I	Compound1907
(3S,4R)-3-Carboxy-2-methylene-heptan-4-olide	Compound1908
(+)-Acuminatin	Compound1909
(+)-trans-1,2-dihydrodehydroguaiar	Compound1910
(3,4-Dimethoxyphenyl)acetic acid	Compound1911
1,2,7-trimethoxy-3-hydroxyxanthone	Compound1912
1,3,7-trimethoxyxanthone	Compound1913
1,6-Dihydroxy-3,5,7-trimethoxyxanthone	Compound1914
1,6-Dihydroxy-3,7-dimethoxyxanthone	Compound1915
1,7-dihydroxy-2,3-dimethoxyxanthone	Compound1916
1,7-Dihydroxyl-3,8-dimethoxyxanthone	Compound1917
1,8-dihydroxy-3,7-dimethoxy-xanthone	Compound1918
1-hydroxy-2,3,5,7-tetramethoxyxanthone	Compound1919
1-hydroxy-2,3,5-trimethoxy-xanthone	Compound1920
1-Hydroxy-3,6,7-trimethoxy xanthone	Compound1921
1-Hydroxy-3,7-dimethoxyxanthone	Compound1922
2,2-dimethyl-6-acetylchromanone	Compound1923
2,3,8-trimethoxyxanthone	Compound1924
3,6-Dihydroxy-1,7-dimethoxyxanthone	Compound1925
3-hydroxy-2,8-dimethoxyxanthone	Compound1926
4,8-dihydroxy-2,7-dimethoxy-xanthone	Compound1927
5a-Hydroxytriptonide	Compound1928
5-alpha-Hydroxytriptonide	Compound1929
5-hydroxy-7-methoxychromone	Compound1930
5-methoxy-dehydrodiisoeugenol	Compound1931
6,8-dihydroxy-1,2,4-trimethyoxyxanthone	Compound1932
6-hydroxy-2,3,6,7-tetramethoxyxanthone	Compound1933
threo-austrobailignan-5	Compound1934
Garcibiphenyl A	Compound1935
(-)-8-oxoisocorypalmine	Compound1936
3-Isopropyl-6-tert-butyl-2,5-piperazinedione	Compound1937
8-oxotetrahydropalmatine	Compound1938
N-Methyltetrahydroharmol	Compound1939
  -Rotunol	Compound1940
(-)-8-oxotetrahydrothalifendine	Compound1941
Amurensinine	Compound1942
Canadaline	Compound1943
Lennoxamine	Compound1944
Thalictircine	Compound1945
10  ,13,14-Trihydroxyalloaromadendrane	Compound1946
4-Demethyl-picropodophyllotoxin	Compound1947
(+)-Eschscholtzidine	Compound1948
Mecambridine	Compound1949
Northalifoline (tautomeric structure 1)	Compound1950
(3S)-7-hydroxy-3-(2,3,4-trimethoxyphenyl)chroman-4-one	Compound1951
12alpha-Hudroxyrotenone	Compound1952
(+)-methylpseudoephedrine	Compound1953
(1R,2S)-N-methylephedrine	Compound1954
(1S,2S)-N-methylpseudoephedrine	Compound1955
d-methylpseudoephedrine	Compound1956
ephedrine hydrochloridum	Compound1957
N-Methylephedrine	Compound1958
Hamanasic acid A	Compound1959
Thujopsan-7  -ol	Compound1960
(Z)-2alpha-hydroxy-albumol	Compound1961
(Z)-2beta-hydroxy-14-hydro-beta-santalol	Compound1962
(Z)-campherene-2beta,13-diol	Compound1963
1-(2,4-Dihydroxyphenyl)-3-(4-hydroxyphenyl)propane	Compound1964
1,7-bis(4-hydroxyphenyl)-3-heptanone	Compound1965
10(Z)-neo-sandalnol	Compound1966
10(Z)-sandalnol	Compound1967
16-Carboxytotarol	Compound1968
1  -hydroxy-  -cyperone	Compound1969
2alpha,12-dihydroxy-10(Z)-campherene	Compound1970
2beta,12-dihydroxy-10(Z)-campherene	Compound1971
2R-(Z)-campherene-2,13-diol	Compound1972
4-(3-hydroxypropyl)phenol	Compound1973
a-Conidendrin	Compound1974
Aphanamol I	Compound1975
Arnebia naphthalenol	Compound1976
benuol	Compound1977
Bolusanthin IV	Compound1978
ent-kaur-15-en-17-ol	Compound1979
Ent-kaur-15-en-3  ,17-diol	Compound1980
Labd-13-ene-8  ,15-diol	Compound1981
Normiltioane	Compound1982
Oryzalexin E	Compound1983
Phadodendrol	Compound1984
Phenol,2-(1,1-dimethylethyl)-4-(1,1,3,3-tetramethylbutyl)	Compound1985
Pisiferin	Compound1986
Sugikurojin A	Compound1987
  -cannabispiranol	Compound1988
(-)-Guaia-1(10),11-dien-15-carboxylic acid	Compound1989
alisguaiaone	Compound1990
ent-kaur-15-en-17,19-dioic acid	Compound1991
ent-labda-8(17),13Z-dien-15,19-dioic acid	Compound1992
Epilippidulcine A	Compound1993
Labda-7,12(E),14-triene-17-oic acid	Compound1994
Lippidulcine A	Compound1995
Methyl 12-oxo-8-alpha,15-dihydroxyabiet-13-en-19-oate	Compound1996
11  -methoxy saikosaponin F	Compound1997
17-Hydroxyhomodaphniphyllic acid	Compound1998
2-(2-Phenyl cyclohexyloxy) ethenol	Compound1999
4-n-propyl-3-hydroxycoumarin	Compound2000
6-(4-hydroxyphenyl)-4-hydroxyhexan-2-one	Compound2001
Spirafine   a	Compound2002
Spirafine VA	Compound2003
Spirafine VIA	Compound2004
(+)-8-Hydroxycalamenone	Compound2005
(2S)-2',4'-Dihydroxy-7-methoxy-8-prenylflavan	Compound2006
1,3-dimethoxy-5-(2-phenylethyl)benzene	Compound2007
10-Deoxoxanthoperol	Compound2008
13-Methoxy-8,12-podocarpadiene-2,11,14-trione	Compound2009
16-Hydroxy-19,20-epoxy-kaurane	Compound2010
1  ,11-dihydroxy-  -cyperone	Compound2011
2,3-dihydroirigenin	Compound2012
2',7-Dihydroxy-4'-methoxy-8-prenylflavan	Compound2013
2',7-di-O-B-D-glucopyranoside	Compound2014
3,4'-dihydroxy-5,5'-dimethoxydihydrostilbene	Compound2015
3-hydroxy-5-methoxy bibenzyl	Compound2016
3-methoxy-2,6,6-trimethylcyclohex-1-enecarboxylic acid	Compound2017
3'-O-Methylbatatasin   	Compound2018
4-(3-ethyl-2-butenyl)-4-cyclohexene-1,3,dione	Compound2019
7-methoxy-3',4',5-trihydroxy isoflavone	Compound2020
8-propoxycedrane	Compound2021
Anticancer Flavonoid PMV70P691-013	Compound2022
Batatasin V	Compound2023
bolusanthin	Compound2024
Canusesnol A	Compound2025
cichorioside B deglycosylation	Compound2026
Deacetylmatricrin	Compound2027
ent-15,16-Epoxy-3-beta-hydroxy-kauran-2-one	Compound2028
Holadysine	Compound2029
Kanshone E	Compound2030
macrophypene A	Compound2031
macrophypene C	Compound2032
marioside deglycosylation	Compound2033
Mononorvalerenone	Compound2034
nardosinanone B	Compound2035
nardosinanone C	Compound2036
orientalol M	Compound2037
Sativanone	Compound2038
Triptonoterpene	Compound2039
  -Epoxy-dihydroartemisinic acid	Compound2040
119736-65-1	Compound2041
12-hydroxyabietic acid	Compound2042
1-Carboethoxy-beta-carboline	Compound2043
2-hydroxyphenylpropanol	Compound2044
(1R,7R)-1,12-dihyroxybisabola-3,10-diene	Compound2045
4,5-dihydroxybisabola-2,10-diene	Compound2046
4  ,12-dihydroxyguaian-6,10-diene	Compound2047
4  ,1,2-dihydroxyguaian-6,10-dien	Compound2048
Calamendiol	Compound2049
nardosinanone A	Compound2050
3,4- dihydroxydihydroagarofuran	Compound2051
4-alpha,5-alpha-Epoxy-6-alpha-hydroxy amorphan-12-ol	Compound2052
4-hydroxydihydroagarofuran	Compound2053
4  ,7  -epoxyguaiane-10  ,11-diol	Compound2054
6,15-alpha-Epoxy-1-beta,4-beta-dihydroxyeudesmane	Compound2055
Baimuxiniol	Compound2056
Baimuxinol	Compound2057
darutigenol B	Compound2058
Isobaimuxinol	Compound2059
Isodoglutinosin B	Compound2060
Isopropyl idenekirenol	Compound2061
Isopropylidenkirenol	Compound2062
Liguloxido	Compound2063
Liguloxidol	Compound2064
2',3,5-trihydroxybibenzyl	Compound2065
2-methyl-5-(2-phenylethyl)resorcinol	Compound2066
3-(2-hydroxy-4-methoxyphenyl)-2H-chromen-7-ol	Compound2067
3,4',5-Trihydroxy-3'-methoxybibenzyl	Compound2068
3,4-didehydroglabridin	Compound2069
3,5,2'-trihydroxy-4-methyl bibenzyl	Compound2070
3,5-dihydroxy bibenzyl	Compound2071
7-Hydroxycadalenal	Compound2072
dehydroglyasperin C	Compound2073
dehydroglyasperin D	Compound2074
glycybridin E	Compound2075
Indicanine E	Compound2076
Moracin A	Compound2077
Moracin B	Compound2078
Moracin F	Compound2079
phenethyl vanillate	Compound2080
p-hydroxyphenethyl-p-hydroxybenzoate	Compound2081
2,3,4-Trihydroxy-benzenepropanoic acid	Compound2082
2,4,6-trinitrobenzenesulfonate	Compound2083
2,4,6-Trinitrobenzenesulfonic acid	Compound2084
2-Carboxymethyl-3-prenyl-2,3-epoxy-1,4-naphthoquinone	Compound2085
3,4-Dihydroxyphenylethyl alcohol glucoside	Compound2086
3-caffeoylquinic,acid	Compound2087
3-Carboxy-4-hydroxy-phenoxy glucoside	Compound2088
3-o-caffeoylquinic,acid	Compound2089
6-O-E-Feruloylajugol	Compound2090
6-O-E-Feruloylajugol deglycosylation	Compound2091
Calcium valproate	Compound2092
chlorogenetic,acid	Compound2093
coptision	Compound2094
Corchoroside A	Compound2095
Corchoroside A deglycosylation	Compound2096
Corydaldine (tautomeric structure 1)	Compound2097
Groenlandicine	Compound2098
Magnograndiolide	Compound2099
neo-chlorogenic,acid	Compound2100
Palmidin A	Compound2101
Trihydroxybufosterocholanic acid	Compound2102
3beta-Hydroxysandara copimaric acid	Compound2103
abiesanordine E	Compound2104
(+)-ferruginol	Compound2105
(+)-methyl,selina-4,11-dien-14-oate	Compound2106
(2S)-5,2'-Dihydroxy-7,4',5'-trimethoxyflavanone	Compound2107
Suaveolic acid	Compound2108
Vitexifolin B	Compound2109
19-hydroxy-ent-labda-8(17),13E-dien-15-oic acid	Compound2110
Antriptolactone	Compound2111
n-pentanoic acid, bornyl ester	Compound2112
n-pentanoic,acid,,bornyl,ester	Compound2113
(+)-4-Epi--alpha-bisabolol	Compound2114
(+)-4-Epi-  -bisabolol	Compound2115
(  )-Vestitol	Compound2116
(7R*)-Opposit-4(15)-ene-1  ,7-diol	Compound2117
1  H,5  H-guaia-6-ene-4  ,10  -diol	Compound2118
2-(4a,8-dimethyl-1,2,3,4,4a,5,6,7-octahydro-napthalen-2-yl)-prop-2en-1-ol	Compound2119
8-hydroxy-4,7-dimethoxy-furanoquinoline	Compound2120
Ajugalide D	Compound2121
3-  -D-glucopyranosyl-3-epi-2-isocucurbic acid deglycosylation	Compound2122
(-)-guaia-l(10),11-diene-15-carboxylic,acid	Compound2123
(2S)-5,2'-dihydroxy-7,8-dimethoxyflavanone	Compound2124
(-)-16B,17-Epoxykauran-19-oic acid	Compound2125
(rel 5S,6R,8R,9R,10S)-6-acetoxy-9-hydroxy-13(14)-labden-16,15-olid Agnusid	Compound2126
13-Carboxy-blumenol C	Compound2127
16-Oxo-8(17),13-labdadiene-15,19-dioic acid	Compound2128
4-Methylene miltirone	Compound2129
Santlic acid	Compound2130
Zingibertriol	Compound2131
(-)-elema-1,3-11(13)-trien-12-ol	Compound2132
(-)-Kaur-l6-en-19-o1	Compound2133
(2S)-abyssinone I	Compound2134
11  ,17-dihydroxy-beyer-15-ene	Compound2135
12,17-Dihydroxylabda-7,13(E)-diene	Compound2136
1-hydroxy-2-methoxy-6-methyl-9,10-anthraquinone	Compound2137
2,5-dihydroxybisabola-3,10-diene	Compound2138
Dictysine	Compound2139
Suberogorgin	Compound2140
11-Deoxy Corticosterone-d7	Compound2141
Siegesmethyletheric acid	Compound2142
O-ethylmenthol	Compound2143
(10S)-11-hydroxy-  -cyperone	Compound2144
